Years,Sample,Overweight(All),SE(AOV),Obese(All),SE(AOB),Overweight(Boys),SE(BOV),Obese(Boys),SE(BOB),Overweight(Girls),SE(GOV),Obese(Girls),SE(GOB)
"1971–19747,04110.2(0.6)5.2(0.3)10.3(0.8)5.3(0.5)10.1(0.8)5.1(0.4)1976–19807,3519.2(0.4)5.5(0.4)9.4(0.6)5.4(0.4)9.0(0.5)5.6(0.6)1988–199410,77713.0(0.7)10.0(0.5)12.6(0.9)10.2(0.7)13.4(0.9)9.8(0.8)1999–20004,03914.2(0.9)13.9(0.9)15.0(1.9)14.0(1.2)13.4(0.8)13.8(1.1)2001–20024,26114.6(0.6)15.4(0.9)14.2(0.7)16.4(1.0)15.0(0.9)14.3(1.3)2003–20043,96116.5(0.8)17.1(1.3)16.6(1.0)18.2(1.5)16.3(0.9)16.0(1.4)2005–20064,20714.6(0.9)15.4(1.4)14.7(1.2)15.9(1.5)14.6(1.0)14.9(1.6)2007–20083,24914.8(0.7)16.8(1.3)14.3(0.7)17.7(1.4)15.4(1.5)15.9(1.5)2009–20103,40814.9(0.8)16.9(0.7)14.4(1.0)18.6(1.1)15.4(0.9)15.0(0.8)2011–20123,35514.9(0.9)16.9(1.0)15.4(1.3)16.7(1.4)14.5(1.4)17.2(1.2)2013–20143,52316.2(0.6)17.2(1.1)16.4(0.8)17.2(1.3)16.0(1.0)17.1(1.6)","7,041",10.2,-0.6,5.2,-0.3,10.3,-0.8,5.3,-0.5,10.1,-0.8,5.1,-0.4
1976–1980,"7,351",9.2,-0.4,5.5,-0.4,9.4,-0.6,5.4,-0.4,9,-0.5,5.6,-0.6
1988–1994,"10,777",13,-0.7,10,-0.5,12.6,-0.9,10.2,-0.7,13.4,-0.9,9.8,-0.8
1999–2000,"4,039",14.2,-0.9,13.9,-0.9,15,-1.9,14,-1.2,13.4,-0.8,13.8,-1.1
2001–2002,"4,261",14.6,-0.6,15.4,-0.9,14.2,-0.7,16.4,-1,15,-0.9,14.3,-1.3
2003–2004,"3,961",16.5,-0.8,17.1,-1.3,16.6,-1,18.2,-1.5,16.3,-0.9,16,-1.4
2005–2006,"4,207",14.6,-0.9,15.4,-1.4,14.7,-1.2,15.9,-1.5,14.6,-1,14.9,-1.6
2007–2008,"3,249",14.8,-0.7,16.8,-1.3,14.3,-0.7,17.7,-1.4,15.4,-1.5,15.9,-1.5
2009–2010,"3,408",14.9,-0.8,16.9,-0.7,14.4,-1,18.6,-1.1,15.4,-0.9,15,-0.8
2011–2012,"3,355",14.9,-0.9,16.9,-1,15.4,-1.3,16.7,-1.4,14.5,-1.4,17.2,-1.2
2013–2014,"3,523",16.2,-0.6,17.2,-1.1,16.4,-0.8,17.2,-1.3,16,-1,17.1,-1.6
